INSTANCE,ITEMS,BINS,HEURISTICS,WASTE (OBJ)
GA-BF_EASY_100_052.bpp,100,25,"{'FFIT': 67, 'BFIT': 19, 'WFIT': 8, 'AWFIT': 6}",0.8511
GA-BF_EASY_100_052.bpp,100,25,"{'FFIT': 46, 'BFIT': 31, 'WFIT': 12, 'AWFIT': 11}",0.8514
GA-BF_EASY_100_052.bpp,100,24,"{'FFIT': 57, 'BFIT': 21, 'WFIT': 11, 'AWFIT': 11}",0.9314
GA-WF_EASY_100_094.bpp,100,29,"{'FFIT': 70, 'BFIT': 19, 'WFIT': 9, 'AWFIT': 2}",0.8596
GA-WF_EASY_100_094.bpp,100,29,"{'FFIT': 61, 'BFIT': 16, 'WFIT': 14, 'AWFIT': 9}",0.8599
GA-WF_EASY_100_094.bpp,100,29,"{'FFIT': 60, 'BFIT': 23, 'WFIT': 11, 'AWFIT': 6}",0.8597
GA-AWF_EASY_100_085.bpp,100,24,"{'FFIT': 34, 'BFIT': 23, 'WFIT': 23, 'AWFIT': 20}",0.8913
GA-AWF_EASY_100_085.bpp,100,24,"{'FFIT': 61, 'BFIT': 20, 'WFIT': 8, 'AWFIT': 11}",0.8916
GA-AWF_EASY_100_085.bpp,100,24,"{'FFIT': 28, 'BFIT': 29, 'WFIT': 24, 'AWFIT': 19}",0.8896
GA-BF_EASY_100_018.bpp,100,25,"{'FFIT': 68, 'BFIT': 21, 'WFIT': 7, 'AWFIT': 4}",0.8521
GA-BF_EASY_100_018.bpp,100,26,"{'FFIT': 52, 'BFIT': 28, 'WFIT': 11, 'AWFIT': 9}",0.7872
GA-BF_EASY_100_018.bpp,100,26,"{'FFIT': 40, 'BFIT': 25, 'WFIT': 22, 'AWFIT': 13}",0.788
GA-FF_EASY_100_014.bpp,100,22,"{'FFIT': 54, 'BFIT': 17, 'WFIT': 22, 'AWFIT': 7}",0.9054
GA-FF_EASY_100_014.bpp,100,22,"{'FFIT': 36, 'BFIT': 42, 'WFIT': 13, 'AWFIT': 9}",0.9057
GA-FF_EASY_100_014.bpp,100,22,"{'FFIT': 43, 'BFIT': 21, 'WFIT': 23, 'AWFIT': 13}",0.9059
GA-AWF_EASY_100_013.bpp,100,25,"{'FFIT': 48, 'BFIT': 33, 'WFIT': 6, 'AWFIT': 13}",0.9129
GA-AWF_EASY_100_013.bpp,100,25,"{'FFIT': 45, 'BFIT': 25, 'WFIT': 13, 'AWFIT': 17}",0.9232
GA-AWF_EASY_100_013.bpp,100,25,"{'FFIT': 70, 'BFIT': 12, 'WFIT': 8, 'AWFIT': 10}",0.913
GA-FF_EASY_100_018.bpp,100,25,"{'FFIT': 47, 'BFIT': 26, 'WFIT': 11, 'AWFIT': 16}",0.9114
GA-FF_EASY_100_018.bpp,100,25,"{'FFIT': 35, 'BFIT': 29, 'WFIT': 16, 'AWFIT': 20}",0.9088
GA-FF_EASY_100_018.bpp,100,25,"{'FFIT': 36, 'BFIT': 29, 'WFIT': 29, 'AWFIT': 6}",0.9086
GA-WF_EASY_100_033.bpp,100,29,"{'FFIT': 58, 'BFIT': 28, 'WFIT': 10, 'AWFIT': 4}",0.8752
GA-WF_EASY_100_033.bpp,100,29,"{'FFIT': 40, 'BFIT': 36, 'WFIT': 8, 'AWFIT': 16}",0.8749
GA-WF_EASY_100_033.bpp,100,29,"{'FFIT': 55, 'BFIT': 25, 'WFIT': 16, 'AWFIT': 4}",0.8764
GA-FF_EASY_100_029.bpp,100,23,"{'FFIT': 41, 'BFIT': 37, 'WFIT': 15, 'AWFIT': 7}",0.9276
GA-FF_EASY_100_029.bpp,100,23,"{'FFIT': 32, 'BFIT': 25, 'WFIT': 15, 'AWFIT': 28}",0.9118
GA-FF_EASY_100_029.bpp,100,23,"{'FFIT': 41, 'BFIT': 21, 'WFIT': 27, 'AWFIT': 11}",0.9118
GA-FF_EASY_100_099.bpp,100,24,"{'FFIT': 51, 'BFIT': 26, 'WFIT': 21, 'AWFIT': 2}",0.8933
GA-FF_EASY_100_099.bpp,100,23,"{'FFIT': 35, 'BFIT': 31, 'WFIT': 27, 'AWFIT': 7}",0.9598
GA-FF_EASY_100_099.bpp,100,25,"{'FFIT': 22, 'BFIT': 35, 'WFIT': 34, 'AWFIT': 9}",0.829
GA-FF_EASY_100_023.bpp,100,23,"{'FFIT': 45, 'BFIT': 20, 'WFIT': 19, 'AWFIT': 16}",0.9116
GA-FF_EASY_100_023.bpp,100,23,"{'FFIT': 45, 'BFIT': 30, 'WFIT': 12, 'AWFIT': 13}",0.9238
GA-FF_EASY_100_023.bpp,100,23,"{'FFIT': 26, 'BFIT': 29, 'WFIT': 29, 'AWFIT': 16}",0.9116
GA-AWF_EASY_100_019.bpp,100,24,"{'FFIT': 44, 'BFIT': 29, 'WFIT': 19, 'AWFIT': 8}",0.8983
GA-AWF_EASY_100_019.bpp,100,24,"{'FFIT': 21, 'BFIT': 29, 'WFIT': 18, 'AWFIT': 32}",0.8999
GA-AWF_EASY_100_019.bpp,100,24,"{'FFIT': 18, 'BFIT': 22, 'WFIT': 29, 'AWFIT': 31}",0.8987
GA-BF_EASY_100_039.bpp,100,25,"{'FFIT': 49, 'BFIT': 27, 'WFIT': 15, 'AWFIT': 9}",0.8489
GA-BF_EASY_100_039.bpp,100,25,"{'FFIT': 36, 'BFIT': 32, 'WFIT': 18, 'AWFIT': 14}",0.8625
GA-BF_EASY_100_039.bpp,100,26,"{'FFIT': 23, 'BFIT': 28, 'WFIT': 25, 'AWFIT': 24}",0.7972
GA-AWF_EASY_100_030.bpp,100,25,"{'FFIT': 38, 'BFIT': 25, 'WFIT': 19, 'AWFIT': 18}",0.9192
GA-AWF_EASY_100_030.bpp,100,25,"{'FFIT': 29, 'BFIT': 33, 'WFIT': 18, 'AWFIT': 20}",0.9196
GA-AWF_EASY_100_030.bpp,100,25,"{'FFIT': 35, 'BFIT': 28, 'WFIT': 16, 'AWFIT': 21}",0.9193
GA-WF_EASY_100_061.bpp,100,32,"{'FFIT': 69, 'BFIT': 23, 'WFIT': 7, 'AWFIT': 1}",0.8846
GA-WF_EASY_100_061.bpp,100,32,"{'FFIT': 69, 'BFIT': 16, 'WFIT': 9, 'AWFIT': 6}",0.8848
GA-WF_EASY_100_061.bpp,100,32,"{'FFIT': 57, 'BFIT': 13, 'WFIT': 16, 'AWFIT': 14}",0.8844
GA-FF_EASY_100_052.bpp,100,22,"{'FFIT': 57, 'BFIT': 21, 'WFIT': 11, 'AWFIT': 11}",0.9142
GA-FF_EASY_100_052.bpp,100,22,"{'FFIT': 41, 'BFIT': 25, 'WFIT': 16, 'AWFIT': 18}",0.914
GA-FF_EASY_100_052.bpp,100,22,"{'FFIT': 26, 'BFIT': 30, 'WFIT': 26, 'AWFIT': 18}",0.9138
GA-FF_EASY_100_090.bpp,100,22,"{'FFIT': 41, 'BFIT': 21, 'WFIT': 23, 'AWFIT': 15}",0.9016
GA-FF_EASY_100_090.bpp,100,22,"{'FFIT': 21, 'BFIT': 14, 'WFIT': 35, 'AWFIT': 30}",0.8866
GA-FF_EASY_100_090.bpp,100,22,"{'FFIT': 38, 'BFIT': 22, 'WFIT': 29, 'AWFIT': 11}",0.8872
GA-BF_EASY_100_017.bpp,100,27,"{'FFIT': 35, 'BFIT': 11, 'WFIT': 27, 'AWFIT': 27}",0.8054
GA-BF_EASY_100_017.bpp,100,27,"{'FFIT': 35, 'BFIT': 14, 'WFIT': 31, 'AWFIT': 20}",0.7984
GA-BF_EASY_100_017.bpp,100,27,"{'FFIT': 24, 'BFIT': 21, 'WFIT': 15, 'AWFIT': 40}",0.7985
GA-WF_EASY_100_086.bpp,100,28,"{'FFIT': 65, 'BFIT': 22, 'WFIT': 10, 'AWFIT': 3}",0.8626
GA-WF_EASY_100_086.bpp,100,28,"{'FFIT': 33, 'BFIT': 34, 'WFIT': 15, 'AWFIT': 18}",0.8624
GA-WF_EASY_100_086.bpp,100,28,"{'FFIT': 44, 'BFIT': 20, 'WFIT': 22, 'AWFIT': 14}",0.8621
GA-AWF_EASY_100_009.bpp,100,23,"{'FFIT': 22, 'BFIT': 28, 'WFIT': 18, 'AWFIT': 32}",0.8806
GA-AWF_EASY_100_009.bpp,100,22,"{'FFIT': 57, 'BFIT': 16, 'WFIT': 6, 'AWFIT': 21}",0.9534
GA-AWF_EASY_100_009.bpp,100,23,"{'FFIT': 44, 'BFIT': 18, 'WFIT': 20, 'AWFIT': 18}",0.8818
GA-AWF_EASY_100_057.bpp,100,24,"{'FFIT': 20, 'BFIT': 20, 'WFIT': 29, 'AWFIT': 31}",0.9069
GA-AWF_EASY_100_057.bpp,100,24,"{'FFIT': 24, 'BFIT': 23, 'WFIT': 28, 'AWFIT': 25}",0.9178
GA-AWF_EASY_100_057.bpp,100,24,"{'FFIT': 22, 'BFIT': 37, 'WFIT': 21, 'AWFIT': 20}",0.9074
GA-AWF_EASY_100_017.bpp,100,26,"{'FFIT': 57, 'BFIT': 19, 'WFIT': 13, 'AWFIT': 11}",0.9119
GA-AWF_EASY_100_017.bpp,100,27,"{'FFIT': 43, 'BFIT': 18, 'WFIT': 11, 'AWFIT': 28}",0.8544
GA-AWF_EASY_100_017.bpp,100,27,"{'FFIT': 49, 'BFIT': 13, 'WFIT': 18, 'AWFIT': 20}",0.8544
GA-WF_EASY_100_029.bpp,100,28,"{'FFIT': 50, 'BFIT': 22, 'WFIT': 20, 'AWFIT': 8}",0.8639
GA-WF_EASY_100_029.bpp,100,28,"{'FFIT': 42, 'BFIT': 28, 'WFIT': 17, 'AWFIT': 13}",0.8564
GA-WF_EASY_100_029.bpp,100,27,"{'FFIT': 60, 'BFIT': 21, 'WFIT': 13, 'AWFIT': 6}",0.921
GA-WF_EASY_100_064.bpp,100,32,"{'FFIT': 60, 'BFIT': 26, 'WFIT': 9, 'AWFIT': 5}",0.8729
GA-WF_EASY_100_064.bpp,100,32,"{'FFIT': 41, 'BFIT': 29, 'WFIT': 16, 'AWFIT': 14}",0.8743
GA-WF_EASY_100_064.bpp,100,31,"{'FFIT': 39, 'BFIT': 27, 'WFIT': 21, 'AWFIT': 13}",0.9294
GA-BF_EASY_100_030.bpp,100,22,"{'FFIT': 30, 'BFIT': 17, 'WFIT': 23, 'AWFIT': 30}",0.8323
GA-BF_EASY_100_030.bpp,100,22,"{'FFIT': 31, 'BFIT': 28, 'WFIT': 20, 'AWFIT': 21}",0.8437
GA-BF_EASY_100_030.bpp,100,22,"{'FFIT': 27, 'BFIT': 26, 'WFIT': 30, 'AWFIT': 17}",0.8329
GA-WF_EASY_100_050.bpp,100,27,"{'FFIT': 44, 'BFIT': 27, 'WFIT': 19, 'AWFIT': 10}",0.8498
