INSTANCE,ITEMS,BINS,HEURISTICS,WASTE (OBJ)
GA-AWF_EASY_100_008.bpp,100,25,"{'FFIT': 86, 'BFIT': 4, 'WFIT': 4, 'AWFIT': 6}",0.9168
GA-AWF_EASY_100_008.bpp,100,25,"{'FFIT': 7, 'BFIT': 56, 'WFIT': 2, 'AWFIT': 35}",0.9155
GA-AWF_EASY_100_008.bpp,100,25,"{'FFIT': 5, 'BFIT': 88, 'WFIT': 6, 'AWFIT': 1}",0.9156
GA-BF_EASY_100_018.bpp,100,26,"{'FFIT': 2, 'BFIT': 6, 'WFIT': 91, 'AWFIT': 1}",0.7826
GA-BF_EASY_100_018.bpp,100,26,"{'FFIT': 4, 'BFIT': 0, 'WFIT': 12, 'AWFIT': 84}",0.7839
GA-BF_EASY_100_018.bpp,100,26,"{'FFIT': 4, 'BFIT': 1, 'WFIT': 87, 'AWFIT': 8}",0.7819
GA-FF_EASY_100_070.bpp,100,24,"{'FFIT': 1, 'BFIT': 92, 'WFIT': 5, 'AWFIT': 2}",0.9214
GA-FF_EASY_100_070.bpp,100,25,"{'FFIT': 2, 'BFIT': 95, 'WFIT': 2, 'AWFIT': 1}",0.8502
GA-FF_EASY_100_070.bpp,100,25,"{'FFIT': 2, 'BFIT': 2, 'WFIT': 96, 'AWFIT': 0}",0.8319
GA-BF_EASY_100_001.bpp,100,27,"{'FFIT': 3, 'BFIT': 0, 'WFIT': 10, 'AWFIT': 87}",0.798
GA-BF_EASY_100_001.bpp,100,27,"{'FFIT': 7, 'BFIT': 1, 'WFIT': 6, 'AWFIT': 86}",0.79
GA-BF_EASY_100_001.bpp,100,28,"{'FFIT': 2, 'BFIT': 1, 'WFIT': 74, 'AWFIT': 23}",0.7437
GA-WF_EASY_100_044.bpp,100,30,"{'FFIT': 3, 'BFIT': 88, 'WFIT': 7, 'AWFIT': 2}",0.8174
GA-WF_EASY_100_044.bpp,100,30,"{'FFIT': 84, 'BFIT': 7, 'WFIT': 1, 'AWFIT': 8}",0.8173
GA-WF_EASY_100_044.bpp,100,30,"{'FFIT': 3, 'BFIT': 2, 'WFIT': 3, 'AWFIT': 92}",0.816
GA-WF_EASY_100_021.bpp,100,23,"{'FFIT': 36, 'BFIT': 53, 'WFIT': 1, 'AWFIT': 10}",0.9074
